ython 3.13.3 (tags/v3.13.3:6280bb5, Apr  8 2025, 14:47:33) [MSC v.1943 64 bit (AMD64)] on win32
Enter "help" below or click "Help" above for more information.

================ RESTART: C:\Users\gokul\Downloads\simulation.py ===============
pygame 2.6.1 (SDL 2.28.4, Python 3.13.3)
Hello from the pygame community. https://www.pygame.org/contribute.html
 GREEN TSTraceback (most recent call last): 
1  File "C:\Users\gokul\Downloads\simulation.py", line 430, in <module>
    class Main:
 -> r:  File "C:\Users\gokul\Downloads\simulation.py", line 449, in Main
    background = pygame.image.load('first.png')
 0FileNotFoundError: No file 'first.png' found in working directory 'C:\Users\gokul\Downloads'.
  y: 
5  g: 20
   RED TS 1 -> r: 150  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 10
   RED TS 3 -> r: 15  y: 5  g: 20
   RED TS 4 -> r: 125  y: 5  g: 20

   RED TS 1 -> r: 149  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 9
   RED TS 3 -> r: 14  y: 5  g: 20
   RED TS 4 -> r: 124  y: 5  g: 20

   RED TS 1 -> r: 148  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 8
   RED TS 3 -> r: 13  y: 5  g: 20
   RED TS 4 -> r: 123  y: 5  g: 20

   RED TS 1 -> r: 147  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 7
   RED TS 3 -> r: 12  y: 5  g: 20
   RED TS 4 -> r: 122  y: 5  g: 20

   RED TS 1 -> r: 146  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 6
   RED TS 3 -> r: 11  y: 5  g: 20
   RED TS 4 -> r: 121  y: 5  g: 20

   RED TS 1 -> r: 145  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 5
   RED TS 3 -> r: 10  y: 5  g: 20
   RED TS 4 -> r: 120  y: 5  g: 20

   RED TS 1 -> r: 144  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 4
   RED TS 3 -> r: 9  y: 5  g: 20
   RED TS 4 -> r: 119  y: 5  g: 20

   RED TS 1 -> r: 143  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 3
   RED TS 3 -> r: 8  y: 5  g: 20
   RED TS 4 -> r: 118  y: 5  g: 20

   RED TS 1 -> r: 142  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 2
   RED TS 3 -> r: 7  y: 5  g: 20
   RED TS 4 -> r: 117  y: 5  g: 20

   RED TS 1 -> r: 141  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 1
   RED TS 3 -> r: 6  y: 5  g: 20
   RED TS 4 -> r: 116  y: 5  g: 20

Green Time:  0
   RED TS 1 -> r: 140  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 5  g: 0
   RED TS 3 -> r: 5  y: 5  g: 10
   RED TS 4 -> r: 115  y: 5  g: 20

   RED TS 1 -> r: 139  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 4  g: 0
   RED TS 3 -> r: 4  y: 5  g: 10
   RED TS 4 -> r: 114  y: 5  g: 20

   RED TS 1 -> r: 138  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 3  g: 0
   RED TS 3 -> r: 3  y: 5  g: 10
   RED TS 4 -> r: 113  y: 5  g: 20

   RED TS 1 -> r: 137  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 2  g: 0
   RED TS 3 -> r: 2  y: 5  g: 10
   RED TS 4 -> r: 112  y: 5  g: 20

   RED TS 1 -> r: 136  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 1  g: 0
   RED TS 3 -> r: 1  y: 5  g: 10
   RED TS 4 -> r: 111  y: 5  g: 20

   RED TS 1 -> r: 135  y: 5  g: 20
   RED TS 2 -> r: 150  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 10
   RED TS 4 -> r: 15  y: 5  g: 20

   RED TS 1 -> r: 134  y: 5  g: 20
   RED TS 2 -> r: 149  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 9
   RED TS 4 -> r: 14  y: 5  g: 20

   RED TS 1 -> r: 133  y: 5  g: 20
   RED TS 2 -> r: 148  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 8
   RED TS 4 -> r: 13  y: 5  g: 20

   RED TS 1 -> r: 132  y: 5  g: 20
   RED TS 2 -> r: 147  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 7
   RED TS 4 -> r: 12  y: 5  g: 20

   RED TS 1 -> r: 131  y: 5  g: 20
   RED TS 2 -> r: 146  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 6
   RED TS 4 -> r: 11  y: 5  g: 20

   RED TS 1 -> r: 130  y: 5  g: 20
   RED TS 2 -> r: 145  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 5
   RED TS 4 -> r: 10  y: 5  g: 20

   RED TS 1 -> r: 129  y: 5  g: 20
   RED TS 2 -> r: 144  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 4
   RED TS 4 -> r: 9  y: 5  g: 20

   RED TS 1 -> r: 128  y: 5  g: 20
   RED TS 2 -> r: 143  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 3
   RED TS 4 -> r: 8  y: 5  g: 20

   RED TS 1 -> r: 127  y: 5  g: 20
   RED TS 2 -> r: 142  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 2
   RED TS 4 -> r: 7  y: 5  g: 20

   RED TS 1 -> r: 126  y: 5  g: 20
   RED TS 2 -> r: 141  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 1
   RED TS 4 -> r: 6  y: 5  g: 20

Green Time:  0
   RED TS 1 -> r: 125  y: 5  g: 20
   RED TS 2 -> r: 140  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 5  g: 0
   RED TS 4 -> r: 5  y: 5  g: 10

   RED TS 1 -> r: 124  y: 5  g: 20
   RED TS 2 -> r: 139  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 4  g: 0
   RED TS 4 -> r: 4  y: 5  g: 10

   RED TS 1 -> r: 123  y: 5  g: 20
   RED TS 2 -> r: 138  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 3  g: 0
   RED TS 4 -> r: 3  y: 5  g: 10

   RED TS 1 -> r: 122  y: 5  g: 20
   RED TS 2 -> r: 137  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 2  g: 0
   RED TS 4 -> r: 2  y: 5  g: 10

   RED TS 1 -> r: 121  y: 5  g: 20
   RED TS 2 -> r: 136  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 1  g: 0
   RED TS 4 -> r: 1  y: 5  g: 10

   RED TS 1 -> r: 15  y: 5  g: 20
   RED TS 2 -> r: 135  y: 5  g: 20
   RED TS 3 -> r: 150  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 10

   RED TS 1 -> r: 14  y: 5  g: 20
   RED TS 2 -> r: 134  y: 5  g: 20
   RED TS 3 -> r: 149  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 9

   RED TS 1 -> r: 13  y: 5  g: 20
   RED TS 2 -> r: 133  y: 5  g: 20
   RED TS 3 -> r: 148  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 8

   RED TS 1 -> r: 12  y: 5  g: 20
   RED TS 2 -> r: 132  y: 5  g: 20
   RED TS 3 -> r: 147  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 7

   RED TS 1 -> r: 11  y: 5  g: 20
   RED TS 2 -> r: 131  y: 5  g: 20
   RED TS 3 -> r: 146  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 6

   RED TS 1 -> r: 10  y: 5  g: 20
   RED TS 2 -> r: 130  y: 5  g: 20
   RED TS 3 -> r: 145  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 5

   RED TS 1 -> r: 9  y: 5  g: 20
   RED TS 2 -> r: 129  y: 5  g: 20
   RED TS 3 -> r: 144  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 4

   RED TS 1 -> r: 8  y: 5  g: 20
   RED TS 2 -> r: 128  y: 5  g: 20
   RED TS 3 -> r: 143  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 3

   RED TS 1 -> r: 7  y: 5  g: 20
   RED TS 2 -> r: 127  y: 5  g: 20
   RED TS 3 -> r: 142  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 2

   RED TS 1 -> r: 6  y: 5  g: 20
   RED TS 2 -> r: 126  y: 5  g: 20
   RED TS 3 -> r: 141  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 1

Green Time:  0
   RED TS 1 -> r: 5  y: 5  g: 10
   RED TS 2 -> r: 125  y: 5  g: 20
   RED TS 3 -> r: 140  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 5  g: 0

   RED TS 1 -> r: 4  y: 5  g: 10
   RED TS 2 -> r: 124  y: 5  g: 20
   RED TS 3 -> r: 139  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 4  g: 0

   RED TS 1 -> r: 3  y: 5  g: 10
   RED TS 2 -> r: 123  y: 5  g: 20
   RED TS 3 -> r: 138  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 3  g: 0

   RED TS 1 -> r: 2  y: 5  g: 10
   RED TS 2 -> r: 122  y: 5  g: 20
   RED TS 3 -> r: 137  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 2  g: 0

   RED TS 1 -> r: 1  y: 5  g: 10
   RED TS 2 -> r: 121  y: 5  g: 20
   RED TS 3 -> r: 136  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 1  g: 0

 GREEN TS 1 -> r: 0  y: 5  g: 10
   RED TS 2 -> r: 15  y: 5  g: 20
   RED TS 3 -> r: 135  y: 5  g: 20
   RED TS 4 -> r: 150  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 9
   RED TS 2 -> r: 14  y: 5  g: 20
   RED TS 3 -> r: 134  y: 5  g: 20
   RED TS 4 -> r: 149  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 8
   RED TS 2 -> r: 13  y: 5  g: 20
   RED TS 3 -> r: 133  y: 5  g: 20
   RED TS 4 -> r: 148  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 7
   RED TS 2 -> r: 12  y: 5  g: 20
   RED TS 3 -> r: 132  y: 5  g: 20
   RED TS 4 -> r: 147  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 6
   RED TS 2 -> r: 11  y: 5  g: 20
   RED TS 3 -> r: 131  y: 5  g: 20
   RED TS 4 -> r: 146  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 5
   RED TS 2 -> r: 10  y: 5  g: 20
   RED TS 3 -> r: 130  y: 5  g: 20
   RED TS 4 -> r: 145  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 4
   RED TS 2 -> r: 9  y: 5  g: 20
   RED TS 3 -> r: 129  y: 5  g: 20
   RED TS 4 -> r: 144  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 3
   RED TS 2 -> r: 8  y: 5  g: 20
   RED TS 3 -> r: 128  y: 5  g: 20
   RED TS 4 -> r: 143  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 2
   RED TS 2 -> r: 7  y: 5  g: 20
   RED TS 3 -> r: 127  y: 5  g: 20
   RED TS 4 -> r: 142  y: 5  g: 20

 GREEN TS 1 -> r: 0  y: 5  g: 1
   RED TS 2 -> r: 6  y: 5  g: 20
   RED TS 3 -> r: 126  y: 5  g: 20
   RED TS 4 -> r: 141  y: 5  g: 20

Green Time:  0
YELLOW TS 1 -> r: 0  y: 5  g: 0
   RED TS 2 -> r: 5  y: 5  g: 10
   RED TS 3 -> r: 125  y: 5  g: 20
   RED TS 4 -> r: 140  y: 5  g: 20

YELLOW TS 1 -> r: 0  y: 4  g: 0
   RED TS 2 -> r: 4  y: 5  g: 10
   RED TS 3 -> r: 124  y: 5  g: 20
   RED TS 4 -> r: 139  y: 5  g: 20

YELLOW TS 1 -> r: 0  y: 3  g: 0
   RED TS 2 -> r: 3  y: 5  g: 10
   RED TS 3 -> r: 123  y: 5  g: 20
   RED TS 4 -> r: 138  y: 5  g: 20

YELLOW TS 1 -> r: 0  y: 2  g: 0
   RED TS 2 -> r: 2  y: 5  g: 10
   RED TS 3 -> r: 122  y: 5  g: 20
   RED TS 4 -> r: 137  y: 5  g: 20

YELLOW TS 1 -> r: 0  y: 1  g: 0
   RED TS 2 -> r: 1  y: 5  g: 10
   RED TS 3 -> r: 121  y: 5  g: 20
   RED TS 4 -> r: 136  y: 5  g: 20

   RED TS 1 -> r: 150  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 10
   RED TS 3 -> r: 15  y: 5  g: 20
   RED TS 4 -> r: 135  y: 5  g: 20

   RED TS 1 -> r: 149  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 9
   RED TS 3 -> r: 14  y: 5  g: 20
   RED TS 4 -> r: 134  y: 5  g: 20

   RED TS 1 -> r: 148  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 8
   RED TS 3 -> r: 13  y: 5  g: 20
   RED TS 4 -> r: 133  y: 5  g: 20

   RED TS 1 -> r: 147  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 7
   RED TS 3 -> r: 12  y: 5  g: 20
   RED TS 4 -> r: 132  y: 5  g: 20

   RED TS 1 -> r: 146  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 6
   RED TS 3 -> r: 11  y: 5  g: 20
   RED TS 4 -> r: 131  y: 5  g: 20

   RED TS 1 -> r: 145  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 5
   RED TS 3 -> r: 10  y: 5  g: 20
   RED TS 4 -> r: 130  y: 5  g: 20

   RED TS 1 -> r: 144  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 4
   RED TS 3 -> r: 9  y: 5  g: 20
   RED TS 4 -> r: 129  y: 5  g: 20

   RED TS 1 -> r: 143  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 3
   RED TS 3 -> r: 8  y: 5  g: 20
   RED TS 4 -> r: 128  y: 5  g: 20

   RED TS 1 -> r: 142  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 2
   RED TS 3 -> r: 7  y: 5  g: 20
   RED TS 4 -> r: 127  y: 5  g: 20

   RED TS 1 -> r: 141  y: 5  g: 20
 GREEN TS 2 -> r: 0  y: 5  g: 1
   RED TS 3 -> r: 6  y: 5  g: 20
   RED TS 4 -> r: 126  y: 5  g: 20

Green Time:  0
   RED TS 1 -> r: 140  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 5  g: 0
   RED TS 3 -> r: 5  y: 5  g: 10
   RED TS 4 -> r: 125  y: 5  g: 20

   RED TS 1 -> r: 139  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 4  g: 0
   RED TS 3 -> r: 4  y: 5  g: 10
   RED TS 4 -> r: 124  y: 5  g: 20

   RED TS 1 -> r: 138  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 3  g: 0
   RED TS 3 -> r: 3  y: 5  g: 10
   RED TS 4 -> r: 123  y: 5  g: 20

   RED TS 1 -> r: 137  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 2  g: 0
   RED TS 3 -> r: 2  y: 5  g: 10
   RED TS 4 -> r: 122  y: 5  g: 20

   RED TS 1 -> r: 136  y: 5  g: 20
YELLOW TS 2 -> r: 0  y: 1  g: 0
   RED TS 3 -> r: 1  y: 5  g: 10
   RED TS 4 -> r: 121  y: 5  g: 20

   RED TS 1 -> r: 135  y: 5  g: 20
   RED TS 2 -> r: 150  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 10
   RED TS 4 -> r: 15  y: 5  g: 20

   RED TS 1 -> r: 134  y: 5  g: 20
   RED TS 2 -> r: 149  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 9
   RED TS 4 -> r: 14  y: 5  g: 20

   RED TS 1 -> r: 133  y: 5  g: 20
   RED TS 2 -> r: 148  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 8
   RED TS 4 -> r: 13  y: 5  g: 20

   RED TS 1 -> r: 132  y: 5  g: 20
   RED TS 2 -> r: 147  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 7
   RED TS 4 -> r: 12  y: 5  g: 20

   RED TS 1 -> r: 131  y: 5  g: 20
   RED TS 2 -> r: 146  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 6
   RED TS 4 -> r: 11  y: 5  g: 20

   RED TS 1 -> r: 130  y: 5  g: 20
   RED TS 2 -> r: 145  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 5
   RED TS 4 -> r: 10  y: 5  g: 20

   RED TS 1 -> r: 129  y: 5  g: 20
   RED TS 2 -> r: 144  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 4
   RED TS 4 -> r: 9  y: 5  g: 20

   RED TS 1 -> r: 128  y: 5  g: 20
   RED TS 2 -> r: 143  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 3
   RED TS 4 -> r: 8  y: 5  g: 20

   RED TS 1 -> r: 127  y: 5  g: 20
   RED TS 2 -> r: 142  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 2
   RED TS 4 -> r: 7  y: 5  g: 20

   RED TS 1 -> r: 126  y: 5  g: 20
   RED TS 2 -> r: 141  y: 5  g: 20
 GREEN TS 3 -> r: 0  y: 5  g: 1
   RED TS 4 -> r: 6  y: 5  g: 20

Green Time:  0
   RED TS 1 -> r: 125  y: 5  g: 20
   RED TS 2 -> r: 140  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 5  g: 0
   RED TS 4 -> r: 5  y: 5  g: 10

   RED TS 1 -> r: 124  y: 5  g: 20
   RED TS 2 -> r: 139  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 4  g: 0
   RED TS 4 -> r: 4  y: 5  g: 10

   RED TS 1 -> r: 123  y: 5  g: 20
   RED TS 2 -> r: 138  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 3  g: 0
   RED TS 4 -> r: 3  y: 5  g: 10

   RED TS 1 -> r: 122  y: 5  g: 20
   RED TS 2 -> r: 137  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 2  g: 0
   RED TS 4 -> r: 2  y: 5  g: 10

   RED TS 1 -> r: 121  y: 5  g: 20
   RED TS 2 -> r: 136  y: 5  g: 20
YELLOW TS 3 -> r: 0  y: 1  g: 0
   RED TS 4 -> r: 1  y: 5  g: 10

   RED TS 1 -> r: 15  y: 5  g: 20
   RED TS 2 -> r: 135  y: 5  g: 20
   RED TS 3 -> r: 150  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 10

   RED TS 1 -> r: 14  y: 5  g: 20
   RED TS 2 -> r: 134  y: 5  g: 20
   RED TS 3 -> r: 149  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 9

   RED TS 1 -> r: 13  y: 5  g: 20
   RED TS 2 -> r: 133  y: 5  g: 20
   RED TS 3 -> r: 148  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 8

   RED TS 1 -> r: 12  y: 5  g: 20
   RED TS 2 -> r: 132  y: 5  g: 20
   RED TS 3 -> r: 147  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 7

   RED TS 1 -> r: 11  y: 5  g: 20
   RED TS 2 -> r: 131  y: 5  g: 20
   RED TS 3 -> r: 146  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 6

   RED TS 1 -> r: 10  y: 5  g: 20
   RED TS 2 -> r: 130  y: 5  g: 20
   RED TS 3 -> r: 145  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 5

   RED TS 1 -> r: 9  y: 5  g: 20
   RED TS 2 -> r: 129  y: 5  g: 20
   RED TS 3 -> r: 144  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 4

   RED TS 1 -> r: 8  y: 5  g: 20
   RED TS 2 -> r: 128  y: 5  g: 20
   RED TS 3 -> r: 143  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 3

   RED TS 1 -> r: 7  y: 5  g: 20
   RED TS 2 -> r: 127  y: 5  g: 20
   RED TS 3 -> r: 142  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 2

   RED TS 1 -> r: 6  y: 5  g: 20
   RED TS 2 -> r: 126  y: 5  g: 20
   RED TS 3 -> r: 141  y: 5  g: 20
 GREEN TS 4 -> r: 0  y: 5  g: 1

Green Time:  0
   RED TS 1 -> r: 5  y: 5  g: 10
   RED TS 2 -> r: 125  y: 5  g: 20
   RED TS 3 -> r: 140  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 5  g: 0

   RED TS 1 -> r: 4  y: 5  g: 10
   RED TS 2 -> r: 124  y: 5  g: 20
   RED TS 3 -> r: 139  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 4  g: 0

   RED TS 1 -> r: 3  y: 5  g: 10
   RED TS 2 -> r: 123  y: 5  g: 20
   RED TS 3 -> r: 138  y: 5  g: 20
YELLOW TS 4 -> r: 0  y: 3  g: 0

   RED TS 1 -> r: 2  y: 5  g: 10
   RED TS 2 -> r: 122  y: 5  g: 20
   RED TS 3 -> r: 137  y: 5  g: 20
